service,src_bytes,count,srv_count,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate
eco_i,16,1,1,1.0,1,1,1.0,0
eco_i,16,1,1,1.0,1,1,1.0,0
eco_i,32,2,2,0.5,2,2,0.5,0
eco_i,32,2,2,0.5,2,2,0.5,0
eco_i,16,3,3,0.3333333333333333,1,1,1.0,0
eco_i,16,3,3,0.3333333333333333,1,1,1.0,0
eco_i,32,4,4,0.25,2,2,0.5,0
eco_i,32,4,4,0.25,2,2,0.5,0
eco_i,48,5,5,0.2,3,3,0.3333333333333333,0
eco_i,48,5,5,0.2,3,3,0.3333333333333333,0
eco_i,16,6,6,0.16666666666666666,1,1,1.0,0
eco_i,16,6,6,0.16666666666666666,1,1,1.0,0
eco_i,32,7,7,0.14285714285714285,2,2,0.5,0
eco_i,32,7,7,0.14285714285714285,2,2,0.5,0
eco_i,48,8,8,0.125,3,3,0.3333333333333333,0
eco_i,48,8,8,0.125,3,3,0.3333333333333333,0
eco_i,64,9,9,0.1111111111111111,4,4,0.25,0
eco_i,64,9,9,0.1111111111111111,4,4,0.25,0
eco_i,80,10,10,0.1,5,5,0.2,0
eco_i,80,10,10,0.1,5,5,0.2,0
eco_i,64,11,11,0.09090909090909091,4,4,0.25,0
eco_i,64,11,11,0.09090909090909091,4,4,0.25,0
eco_i,80,12,12,0.08333333333333333,5,5,0.2,0
eco_i,80,12,12,0.08333333333333333,5,5,0.2,0
eco_i,96,13,13,0.07692307692307693,6,6,0.16666666666666666,0
eco_i,96,13,13,0.07692307692307693,6,6,0.16666666666666666,0
eco_i,96,14,14,0.07142857142857142,6,6,0.16666666666666666,0
eco_i,96,14,14,0.07142857142857142,6,6,0.16666666666666666,0
eco_i,112,15,15,0.06666666666666667,7,7,0.14285714285714285,0
eco_i,112,15,15,0.06666666666666667,7,7,0.14285714285714285,0
eco_i,128,16,16,0.0625,8,8,0.125,0
eco_i,128,16,16,0.0625,8,8,0.125,0
eco_i,144,17,17,0.058823529411764705,9,9,0.1111111111111111,0
eco_i,144,17,17,0.058823529411764705,9,9,0.1111111111111111,0
eco_i,160,18,18,0.05555555555555555,10,10,0.1,0
eco_i,160,18,18,0.05555555555555555,10,10,0.1,0
eco_i,176,19,19,0.05263157894736842,11,11,0.09090909090909091,0
eco_i,176,19,19,0.05263157894736842,11,11,0.09090909090909091,0
eco_i,192,20,20,0.05,12,12,0.08333333333333333,0
eco_i,192,20,20,0.05,12,12,0.08333333333333333,0
eco_i,208,21,21,0.047619047619047616,13,13,0.07692307692307693,0
eco_i,208,21,21,0.047619047619047616,13,13,0.07692307692307693,0
eco_i,224,22,22,0.045454545454545456,14,14,0.07142857142857142,0
eco_i,224,22,22,0.045454545454545456,14,14,0.07142857142857142,0
eco_i,240,23,23,0.043478260869565216,15,15,0.06666666666666667,0
eco_i,240,23,23,0.043478260869565216,15,15,0.06666666666666667,0
eco_i,48,24,24,0.041666666666666664,3,3,0.3333333333333333,0
eco_i,48,24,24,0.041666666666666664,3,3,0.3333333333333333,0
eco_i,64,25,25,0.04,4,4,0.25,0
eco_i,64,25,25,0.04,4,4,0.25,0
eco_i,80,26,26,0.038461538461538464,5,5,0.2,0
eco_i,80,26,26,0.038461538461538464,5,5,0.2,0
eco_i,16,27,27,0.037037037037037035,1,1,1.0,0
eco_i,16,27,27,0.037037037037037035,1,1,1.0,0
eco_i,32,28,28,0.03571428571428571,2,2,0.5,0
eco_i,32,28,28,0.03571428571428571,2,2,0.5,0
eco_i,48,29,29,0.034482758620689655,3,3,0.3333333333333333,0
eco_i,48,29,29,0.034482758620689655,3,3,0.3333333333333333,0
eco_i,64,30,30,0.03333333333333333,4,4,0.25,0
eco_i,64,30,30,0.03333333333333333,4,4,0.25,0
eco_i,80,31,31,0.03225806451612903,5,5,0.2,0
eco_i,80,31,31,0.03225806451612903,5,5,0.2,0
eco_i,96,32,32,0.03125,6,6,0.16666666666666666,0
eco_i,96,32,32,0.03125,6,6,0.16666666666666666,0
eco_i,112,33,33,0.030303030303030304,7,7,0.14285714285714285,0
eco_i,112,33,33,0.030303030303030304,7,7,0.14285714285714285,0
eco_i,128,34,34,0.029411764705882353,8,8,0.125,0
eco_i,128,34,34,0.029411764705882353,8,8,0.125,0
eco_i,144,35,35,0.02857142857142857,9,9,0.1111111111111111,0
eco_i,144,35,35,0.02857142857142857,9,9,0.1111111111111111,0
eco_i,160,36,36,0.027777777777777776,10,10,0.1,0
eco_i,160,36,36,0.027777777777777776,10,10,0.1,0
eco_i,112,37,37,0.02702702702702703,7,7,0.14285714285714285,0
eco_i,112,37,37,0.02702702702702703,7,7,0.14285714285714285,0
eco_i,128,38,38,0.02631578947368421,8,8,0.125,0
eco_i,128,38,38,0.02631578947368421,8,8,0.125,0
eco_i,144,39,39,0.02564102564102564,9,9,0.1111111111111111,0
eco_i,144,39,39,0.02564102564102564,9,9,0.1111111111111111,0
eco_i,160,40,40,0.025,10,10,0.1,0
eco_i,160,40,40,0.025,10,10,0.1,0
eco_i,176,41,41,0.024390243902439025,11,11,0.09090909090909091,0
eco_i,176,41,41,0.024390243902439025,11,11,0.09090909090909091,0
eco_i,192,42,42,0.023809523809523808,12,12,0.08333333333333333,0
eco_i,192,42,42,0.023809523809523808,12,12,0.08333333333333333,0
eco_i,208,43,43,0.023255813953488372,13,13,0.07692307692307693,0
eco_i,208,43,43,0.023255813953488372,13,13,0.07692307692307693,0
eco_i,176,44,44,0.022727272727272728,11,11,0.09090909090909091,0
eco_i,176,44,44,0.022727272727272728,11,11,0.09090909090909091,0
eco_i,192,45,45,0.022222222222222223,12,12,0.08333333333333333,0
eco_i,192,45,45,0.022222222222222223,12,12,0.08333333333333333,0
eco_i,208,46,46,0.021739130434782608,13,13,0.07692307692307693,0
eco_i,208,46,46,0.021739130434782608,13,13,0.07692307692307693,0
eco_i,224,47,47,0.02127659574468085,14,14,0.07142857142857142,0
eco_i,224,47,47,0.02127659574468085,14,14,0.07142857142857142,0
eco_i,240,48,48,0.020833333333333332,15,15,0.06666666666666667,0
eco_i,240,48,48,0.020833333333333332,15,15,0.06666666666666667,0
eco_i,256,49,49,0.02040816326530612,16,16,0.0625,0
eco_i,256,49,49,0.02040816326530612,16,16,0.0625,0
eco_i,272,50,50,0.02,17,17,0.058823529411764705,0
eco_i,272,50,50,0.02,17,17,0.058823529411764705,0
eco_i,288,51,51,0.0196078431372549,18,18,0.05555555555555555,0
eco_i,288,51,51,0.0196078431372549,18,18,0.05555555555555555,0
eco_i,304,52,52,0.019230769230769232,19,19,0.05263157894736842,0
eco_i,304,52,52,0.019230769230769232,19,19,0.05263157894736842,0
